,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price,Property_type,Location
544,2.0,2.0,3.0,yes,yes,yes,50000000.0,house,Eti-Osa
545,4.0,5.0,5.0,yes,no,no,90000000.0,house,Eti-Osa
546,5.0,6.0,6.0,yes,yes,no,260000000.0,house,Eti-Osa
547,5.0,6.0,6.0,yes,yes,no,220000000.0,house,Eti-Osa
548,5.0,6.0,6.0,yes,no,yes,300000000.0,house,Eti-Osa
549,3.0,4.0,4.0,yes,yes,no,350000000.0,house,Eti-Osa
550,4.0,5.0,5.0,yes,yes,no,85000000.0,house,Eti-Osa
551,3.0,4.0,4.0,yes,yes,yes,130000000.0,apartment,Eti-Osa
552,3.0,4.0,4.0,yes,yes,no,130000000.0,house,Eti-Osa
553,5.0,6.0,6.0,yes,no,no,550000000.0,house,Eti-Osa
554,5.0,6.0,6.0,yes,no,yes,450000000.0,house,Eti-Osa
555,1.0,2.0,2.0,yes,yes,no,30000000.0,house,Eti-Osa
556,5.0,6.0,6.0,yes,yes,no,210000000.0,house,Eti-Osa
557,4.0,5.0,5.0,yes,yes,no,65000000.0,house,Eti-Osa
558,4.0,5.0,5.0,no,no,no,195000000.0,house,Eti-Osa
559,4.0,5.0,5.0,yes,yes,no,120000000.0,house,Eti-Osa
560,5.0,6.0,6.0,yes,yes,no,150000000.0,house,Eti-Osa
561,1.0,0.0,0.0,no,no,no,7000000.0,apartment,Ikorodu
562,5.0,6.0,6.0,yes,yes,no,185000000.0,house,Eti-Osa
563,4.0,5.0,5.0,yes,yes,yes,62000000.0,house,Eti-Osa
564,3.0,4.0,4.0,yes,no,yes,135000000.0,house,Eti-Osa
565,4.0,5.0,5.0,yes,no,no,75000000.0,house,Eti-Osa
566,4.0,5.0,5.0,yes,yes,no,270000000.0,house,Eti-Osa
567,5.0,6.0,6.0,yes,yes,no,550000000.0,house,Eti-Osa
568,4.0,5.0,5.0,yes,yes,no,150000000.0,house,Eti-Osa
569,3.0,4.0,4.0,yes,no,yes,145000000.0,house,Eti-Osa
570,3.0,4.0,4.0,yes,no,yes,315000000.0,house,Eti-Osa
571,2.0,2.0,3.0,yes,yes,yes,80000000.0,apartment,Eti-Osa
572,4.0,4.0,5.0,yes,yes,yes,105000000.0,house,Eti-Osa
573,5.0,5.0,6.0,yes,yes,no,200000000.0,house,Eti-Osa
574,4.0,5.0,5.0,yes,yes,no,135000000.0,house,Eti-Osa
575,4.0,4.0,5.0,yes,yes,no,70000000.0,house,Eti-Osa
576,4.0,5.0,5.0,yes,no,no,138000000.0,house,Eti-Osa
577,5.0,6.0,6.0,yes,yes,no,135000000.0,house,Eti-Osa
578,5.0,6.0,6.0,yes,no,no,130000000.0,house,Eti-Osa
579,4.0,5.0,5.0,yes,yes,no,100000000.0,house,Eti-Osa
580,1.0,2.0,2.0,yes,no,yes,75000000.0,house,Eti-Osa
581,5.0,6.0,6.0,yes,yes,no,280000000.0,house,Eti-Osa
582,4.0,4.0,5.0,yes,yes,no,75000000.0,house,Eti-Osa
583,4.0,5.0,5.0,yes,no,no,98000000.0,house,Eti-Osa
584,4.0,5.0,5.0,yes,no,no,65000000.0,house,Eti-Osa
585,5.0,6.0,6.0,yes,yes,no,170000000.0,house,Eti-Osa
586,4.0,4.0,5.0,no,no,no,104000000.0,house,Eti-Osa
587,2.0,2.0,3.0,yes,yes,yes,50000000.0,house,Eti-Osa
588,3.0,4.0,4.0,yes,yes,yes,130000000.0,house,Eti-Osa
589,3.0,4.0,4.0,yes,yes,yes,120000000.0,house,Eti-Osa
590,6.0,6.0,7.0,yes,yes,yes,800000000.0,house,Eti-Osa
591,4.0,4.0,4.0,no,no,no,85000000.0,house,Eti-Osa
592,4.0,5.0,5.0,yes,no,yes,130000000.0,house,Eti-Osa
593,5.0,6.0,6.0,yes,no,no,400000000.0,house,Eti-Osa
594,2.0,3.0,3.0,yes,no,yes,55000000.0,house,Eti-Osa
595,2.0,3.0,3.0,yes,no,yes,45000000.0,house,Eti-Osa
596,2.0,3.0,3.0,yes,no,yes,55000000.0,house,Eti-Osa
597,4.0,5.0,5.0,yes,no,yes,90000000.0,house,Eti-Osa
598,4.0,5.0,5.0,yes,no,no,170000000.0,house,Eti-Osa
599,5.0,6.0,6.0,yes,no,no,500000000.0,house,Eti-Osa
600,5.0,6.0,6.0,yes,no,no,180000000.0,house,Eti-Osa
601,4.0,5.0,5.0,yes,no,no,67000000.0,house,Eti-Osa
602,3.0,4.0,4.0,yes,no,yes,196000000.0,house,Eti-Osa
603,5.0,6.0,6.0,no,no,no,250000000.0,house,Eti-Osa
604,3.0,4.0,4.0,yes,no,yes,200000000.0,house,Eti-Osa
605,4.0,5.0,5.0,yes,no,yes,250000000.0,house,Eti-Osa
606,5.0,6.0,6.0,yes,no,no,580000000.0,house,Eti-Osa
607,4.0,5.0,5.0,yes,no,no,82000000.0,house,Eti-Osa
608,5.0,6.0,6.0,yes,no,no,490000000.0,house,Eti-Osa
609,5.0,6.0,6.0,yes,no,yes,450000000.0,house,Eti-Osa
610,4.0,5.0,5.0,yes,no,yes,115000000.0,house,Eti-Osa
611,4.0,5.0,5.0,yes,no,no,98000000.0,house,Eti-Osa
612,5.0,6.0,6.0,yes,no,no,280000000.0,house,Eti-Osa
613,4.0,5.0,5.0,yes,no,no,125000000.0,house,Eti-Osa
614,4.0,5.0,5.0,yes,no,no,65000000.0,house,Eti-Osa
615,3.0,4.0,4.0,yes,no,yes,130000000.0,house,Eti-Osa
616,4.0,5.0,5.0,yes,no,no,115000000.0,house,Eti-Osa
617,4.0,5.0,5.0,yes,no,no,150000000.0,house,Eti-Osa
