Description,Title,Location,Beds,Baths,Toilets,Is_new,Is_furnished,Is_serviced,Price
Spacious 4 Units Of 3 Bedroom Flats,3 BEDROOM HOUSE FOR SALE,Ogba Lagos,3.0,0.0,0.0,0,0,0,80000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,4.0,0.0,0.0,0,0,0,100000000
4 Bedrooms Flat Bungalow,4 BEDROOM HOUSE FOR SALE,Mojik Close By Rotimi Odunayo Str. Off Ibese Road Ikorodu Lagos,4.0,0.0,0.0,0,0,0,26000000
Bungalow House,HOUSE FOR SALE,"Amikanle, Agbenuba Alagbado Abule Egba Lagos",0.0,0.0,0.0,0,0,0,19000000
4 Numbers Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Alagbado Abule Egba Lagos,3.0,0.0,0.0,0,0,0,25000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,4.0,0.0,0.0,0,0,0,650000000
2 Bedroom Terraced Duplex,2 BEDROOM HOUSE FOR SALE,Orchid Lekki Lagos,2.0,0.0,0.0,0,0,0,40000000
Bungalow,4 BEDROOM HOUSE FOR SALE,Gbaga Ijede Ikorodu Lagos,4.0,0.0,0.0,0,0,0,22000000
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SALE,Allen Avenue Ikeja Lagos,3.0,0.0,0.0,0,0,1,45000000
Newly Built 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SALE,Alagbado Abule Egba Lagos,4.0,0.0,0.0,0,0,0,50000000
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SALE,Close To Chevron Roundabout Lekki Lagos,4.0,0.0,0.0,0,0,0,70000000
Executive 7 Bedroom Duplex,7 BEDROOM HOUSE FOR SALE,Ait Estate Kola Alagbado Abule Egba Lagos,7.0,0.0,0.0,0,0,0,45000000
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SALE,Chevron Lekki Lagos,4.0,0.0,0.0,0,0,0,150000000
Mini Flat,2 BEDROOM HOUSE FOR SALE,Alimosho Lagos,2.0,2.0,2.0,0,0,0,18000000
Story Building Of 4 Units Of 3 Bedroom Flat,3 BEDROOM HOUSE FOR SALE,Ikosi Ketu Kosofe Ikosi Lagos,3.0,0.0,0.0,0,0,0,90000000
Story Building,6 BEDROOM HOUSE FOR SALE,Odunlade Shomolu Lagos,6.0,0.0,0.0,0,0,0,60000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Magodo Gra Phase 1 Ojodu Lagos,4.0,0.0,0.0,0,0,0,90000000
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SALE,Adeniyi Jones Ikeja Lagos,4.0,0.0,0.0,0,0,0,135000000
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Ikeja Lagos,5.0,0.0,0.0,0,0,0,350000000
